STATION,AM_ENTERS,AM_EXITS
104 ST,2441.0,74.0
111 ST,6459.0,146.0
125 ST,8707.0,6616.0
14 ST,3919.0,11802.0
145 ST,13017.0,5495.0
168 ST,7006.0,4972.0
175 ST,6414.0,792.0
181 ST,12955.0,1696.0
190 ST,1988.0,212.0
34 ST-PENN STA,104956.0,48578.0
42 ST-PORT AUTH,89292.0,59136.0
59 ST COLUMBUS,4615.0,17394.0
8 AV,4572.0,6636.0
80 ST,8396.0,336.0
88 ST,6117.0,135.0
AQUEDUCT N.COND,2137.0,308.0
AQUEDUCT RACETR,589.0,27.0
BEACH 105 ST,515.0,152.0
BEACH 25 ST,2224.0,375.0
BEACH 36 ST,1124.0,135.0
BEACH 44 ST,783.0,366.0
BEACH 60 ST,2526.0,303.0
BEACH 67 ST,2438.0,384.0
BEACH 90 ST,1930.0,184.0
BEACH 98 ST,934.0,302.0
BROAD CHANNEL,832.0,52.0
BROADWAY JCT,5493.0,2685.0
CANAL ST,1276.0,5619.0
CHAMBERS ST,5779.0,13384.0
DYCKMAN ST,8185.0,96.0
EUCLID AV,7664.0,931.0
FAR ROCKAWAY,4504.0,1453.0
FRANKLIN AV,4470.0,2992.0
FULTON ST,21552.0,34497.0
GRANT AV,4793.0,628.0
HIGH ST,892.0,2247.0
HOWARD BCH JFK,2545.0,2294.0
HOYT-SCHER,1254.0,2107.0
INWOOD-207 ST,11800.0,1149.0
JAY ST-METROTEC,6390.0,7048.0
NOSTRAND AV,5011.0,2436.0
OZONE PK LEFFRT,10129.0,1136.0
ROCKAWAY BLVD,12901.0,1655.0
ROCKAWAY PARK B,1142.0,476.0
UTICA AV,16992.0,4222.0
W 4 ST-WASH SQ,12034.0,21305.0
